Origin,Destination,Distance_km
"Argyle Street, Kings Cross","Drury Lane, Covent Garden",1.6328
"Argyle Street, Kings Cross","East Road, Hoxton",2.5253
"Argyle Street, Kings Cross","Edgware Road Station, Marylebone",3.3401
"Argyle Street, Kings Cross","Euston Road, Euston",0.8056
"Argyle Street, Kings Cross","Eversholt Street , Camden Town",0.9743
"Argyle Street, Kings Cross","Falkirk Street, Hoxton",3.1479
"Argyle Street, Kings Cross","Finsbury Circus, Liverpool Street",2.9203
"Argyle Street, Kings Cross","Finsbury Leisure Centre, St. Luke's",1.9484
"Argyle Street, Kings Cross","Finsbury Library , Finsbury",1.3918
"Argyle Street, Kings Cross","Finsbury Square , Moorgate",2.8121
"Argyle Street, Kings Cross","Godliman Street, St. Paul's",2.5475
"Argyle Street, Kings Cross","Golden Lane, Barbican",2.2099
"Argyle Street, Kings Cross","Gower Place , Euston",0.9066
"Argyle Street, Kings Cross","Great Dover Street, The Borough",4.2879
"Argyle Street, Kings Cross","Great Russell Street, Bloomsbury",1.3276
"Argyle Street, Kings Cross","Guilford Street , Bloomsbury",0.7228
"Argyle Street, Kings Cross","Hampstead Road, Euston",1.0781
"Argyle Street, Kings Cross","Hardwick Street, Clerkenwell",1.1121
"Argyle Street, Kings Cross","Harrington Square 1, Camden Town",1.1271
"Argyle Street, Kings Cross","Hatton Garden, Holborn",1.6122
"Argyle Street, Kings Cross","Hatton Wall, Holborn",1.3459
"Argyle Street, Kings Cross","Hereford Road, Bayswater",5.1177
"Argyle Street, Kings Cross","Holborn Circus, Holborn",1.6565
"Argyle Street, Kings Cross","Holy Trinity Brompton, Knightsbridge",4.7574
"Argyle Street, Kings Cross","Hop Exchange, The Borough",3.543
"Argyle Street, Kings Cross","Jewry Street, Aldgate",3.7164
"Argyle Street, Kings Cross","Leonard Circus , Shoreditch",2.7829
"Argyle Street, Kings Cross","Lisson Grove, St. John's Wood",3.3539
"Argyle Street, Kings Cross","Little Argyll Street, West End",2.0527
"Argyle Street, Kings Cross","Lollard Street, Vauxhall",4.1101
"Argyle Street, Kings Cross","Longford Street, The Regent's Park",1.4566
"Argyle Street, Kings Cross","Malet Street, Bloomsbury",0.9702
"Argyle Street, Kings Cross","Milroy Walk, South Bank",2.753
"Argyle Street, Kings Cross","Murray Grove , Hoxton",2.3688
"Argyle Street, Kings Cross","Museum of London, Barbican",2.2953
"Argyle Street, Kings Cross","Nesham Street, Wapping",4.6598
"Argyle Street, Kings Cross","New Globe Walk, Bankside",3.102
"Argyle Street, Kings Cross","New Inn Yard, Shoreditch",3.1395
